SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.144GL.3126	52	3	168	270	0	136	61	24	5	72	2	0	70	0	16	2	49	262	69	106	59	19	156	3	12	14	0	3	33	252	96	38
GTEX.145LS.3226	9	146	97	55	5	197	206	90	1	94	0	148	61	90	6	0	9	186	28	178	289	152	69	13	18	14	76	10	7	21	51	93
GTEX.145LU.2826	382	120	110	76	6	309	381	57	7	45	6	0	99	68	4	1	37	152	189	220	100	88	268	25	74	139	18	184	75	73	106	91
GTEX.145MF.2626	169	0	824	367	0	141	57	105	13	206	6	0	71	2	15	2	92	768	214	176	8	24	268	6	71	146	0	7	65	320	93	207
GTEX.145MH.3126	4	619	0	60	25	45	215	229	4	1	0	30	90	146	27	0	29	2	117	3	57	112	286	47	7	6	536	7	67	4	150	0
GTEX.145MO.3126	19	75	77	30	2	53	77	3	0	116	1	3	56	13	9	0	97	38	86	55	81	64	127	10	23	0	7	1	24	34	127	48
GTEX.14753.2926	79	313	0	58	2	369	107	92	679	166	1998	555	169	66	787	1318	6	206	5	913	54	87	0	15	3	588	159	63	150	61	105	16
GTEX.1477Z.2826	259	364	816	1060	57	77	58	138	1	27	0	24	95	34	6	2	140	19	132	1	22	73	81	12	322	34	149	20	16	83	93	19
GTEX.147F4.3126	1534	410	57	76	1	283	101	79	1400	296	90	581	57	9	73	70	34	782	37	843	47	14	3	29	28	154	284	65	80	197	98	70
GTEX.147GR.2926	243	365	104	18	72	135	99	136	109	763	39	60	35	44	69	46	417	165	34	870	80	91	123	17	118	14	331	36	57	263	41	94
GTEX.148VJ.2926	56	15	14	27	8	284	144	21	0	142	1469	64	74	103	436	429	9	7	70	714	31	84	187	15	7	180	1	13	923	76	77	18
GTEX.14A5H.3026	35	254	147	138	32	129	175	320	0	44	0	209	63	215	0	0	92	3	483	14	112	201	416	126	61	0	1117	59	6	14	136	21
GTEX.14A5I.3026	286	18	102	62	0	61	0	95	64	128	0	146	122	0	18	0	107	61	208	35	45	10	121	10	120	9	30	22	75	3	103	190
GTEX.14ABY.3126	324	128	47	192	202	373	608	358	188	333	0	87	516	1124	49	4	128	285	1014	284	145	253	382	112	3	28	16	85	91	43	233	9
GTEX.14BIL.2926	341	290	729	33	10	395	79	26	53	967	27	223	8	57	23	156	169	243	22	607	95	84	25	27	100	185	121	93	59	513	15	589
GTEX.14BIM.3226	782	20	42	91	0	139	203	40	267	733	123	1	292	24	550	315	626	113	80	257	63	69	31	24	34	123	2	33	307	190	160	67
GTEX.14BIN.3126	444	327	981	63	1	230	10	44	952	226	21	83	5	4	72	83	293	279	26	205	26	44	60	59	2051	969	521	46	110	184	34	1258
GTEX.14BMV.3126	87	397	542	187	0	22	8	187	24	60	0	25	51	0	8	8	143	47	203	0	15	36	92	21	43	7	708	0	136	26	134	152
GTEX.14C39.2926	891	18	467	284	1	61	32	85	61	62	15	0	88	40	149	5	0	1111	6	121	11	50	0	9	5	759	1	0	23	314	106	30
GTEX.14C5O.3126	21	1	17	159	7	35	91	31	8	8	7	0	127	9	20	1	9	70	185	9	19	38	162	7	1	21	0	5	183	10	182	3
GTEX.14DAQ.3226	351	0	100	6	0	36	3	43	89	96	0	0	4	0	2	6	136	34	28	34	1	2	72	3	642	22	0	0	34	0	18	985
GTEX.14E7W.3126	50	455	317	265	1	207	127	39	15	212	5	15	141	436	14	9	332	106	90	154	92	84	55	61	110	26	32	46	49	191	104	156
GTEX.14JG1.3126	58	0	81	588	0	91	22	14	0	21	0	0	190	0	18	0	4	95	453	19	0	1	28	1	0	6	0	1	20	113	108	2
GTEX.14LLW.3026	21	0	210	144	0	24	0	68	84	155	17	0	154	0	77	4	8	173	5	86	1	0	0	14	1	80	0	0	24	135	81	46
GTEX.14LZ3.3126	62	20	30	12	26	242	119	50	31	186	31	474	13	54	9	58	316	11	43	182	330	118	53	32	117	50	18	87	48	34	34	229
GTEX.14PJM.3226	29	133	201	4	0	122	29	24	52	18	11	18	12	0	9	1	0	152	1	118	63	20	0	16	21	66	57	3	0	29	19	637
GTEX.14PN4.3226	4	0	1	5	2	30	45	51	2	23	0	0	74	66	10	1	22	0	81	1	6	43	42	27	3	0	1	15	26	1	239	2
GTEX.14PQA.3126	114	53	40	4	0	37	69	162	56	50	1	13	3	6	6	16	320	13	117	1	15	47	886	40	1487	21	0	32	147	0	88	369
GTEX.15CHQ.3126	20	0	108	251	0	44	26	4	1	49	10	0	114	3	20	5	125	38	120	9	0	14	297	2	51	25	0	0	89	106	33	7
GTEX.15D79.3126	522	43	169	68	22	54	138	92	269	207	0	17	107	83	17	8	157	397	88	30	64	146	21	13	60	21	339	61	29	303	70	190
GTEX.15DCD.3026	35	7	191	112	0	54	69	53	45	302	3	5	93	6	122	5	717	59	44	37	12	15	25	1	136	58	0	5	27	85	37	203
GTEX.15DDE.3226	10	23	89	54	0	80	7	376	13	378	1	813	74	0	25	28	312	46	53	153	77	54	16	170	17	1	141	22	21	201	17	5
GTEX.15EO6.3126	29	236	1	25	14	29	137	98	28	60	0	33	18	190	13	8	162	0	249	0	39	85	297	6	96	2	24	21	95	0	133	22
GTEX.15ER7.3226	311	20	6	24	0	34	35	442	3	30	101	3	13	6	168	31	10	219	132	0	28	19	254	129	52	295	32	0	516	0	100	355
